Date of requirement,Region,Country,PET bottle capacity,Type,PET bottle weight (grams),Volume (Million Pieces)
1/12/2019,Asia,China,11Oz,Standard,12.36,95.17
1/12/2019,North America,US,44cl,Standard,13.90,158.35
1/12/2019,South America,Peru,25cl,Slim,10.40,14.08
1/13/2019,EUR,UK,50cl,Standard,14.60,160.67
1/13/2019,South America,Brasil,9Oz,Sleek,11.12,26.32
1/13/2019,EUR,Spain,15cl,Slim,8.50,162.26
1/13/2019,South America,Paraguay,8 OZ,SLEEK,11.03,66.22
1/13/2019,EUR,Belgium,11 OZ,Standard,13.38,41.62
1/14/2019,North America,US,8 OZ,SLEEK,11.26,17.78
1/14/2019,EUR,Germany,10.5Oz,Slim,12.85,166.17
1/14/2019,EUR,Czech Republic,25cl,Slim,10.40,3.69
1/14/2019,EUR,France,12Oz,Standard,13.00,78.45
1/14/2019,EUR,Germany,10 OZ,SLEEK,12.83,43.73
1/14/2019,Asia,Japan,16 OZ,STANDARD,16.08,92.27
1/15/2019,EUR,Netherlands,33cl,Standard,11.90,124.09
1/15/2019,Asia,China,355ml,Standard,13.09,85.29
1/15/2019,Asia,Korea,33cl,Standard,11.90,82.77
1/15/2019,EUR,UK,11 OZ,Standard,13.38,80.12
1/15/2019,South America,Paraguay,10.5Oz,Slim,12.85,56.52
1/15/2019,EUR,Germany,10.5Oz,Slim,12.85,34.44
1/15/2019,Asia,Korea,32oz,BIG CAN,27.55,109.91
1/16/2019,South America,Paraguay,8oz Sleek,SLEEK,11.03,119.66
1/16/2019,EUR,Belgium,24 OZ,Big Can,22.81,85.58
1/16/2019,EUR,Netherlands,310ml,Sleek,12.26,42.94
1/16/2019,EUR,Netherlands,25oz,BIG CAN,24.66,38.89
1/16/2019,Asia,Japan,8 OZ,SLEEK,11.03,52.36
1/17/2019,EUR,Belgium,33cl,Embossed,12.70,91.61
1/17/2019,EUR,Belgium,25oz,BIG CAN,24.66,123.56
1/17/2019,South America,Colombia,16Oz,Standard,15.00,218.94
1/17/2019,Asia,Japan,11 OZ,Standard,13.38,57.89
1/17/2019,North America,US,355ml,Standard,13.09,17.99
1/17/2019,South America,Panama,16 OZ,STANDARD,16.08,40.42
1/18/2019,EUR,Netherlands,16Oz,Standard,15.00,50.40
1/18/2019,South America,Paraguay,25cl,Slim,10.40,6.89
1/18/2019,EUR,Belgium,270ml,Sleek,13.08,17.28
1/18/2019,South America,Argentina,330ml,Standard,12.78,36.67
1/18/2019,South America,Paraguay,44cl,Standard,13.90,52.52
1/18/2019,EUR,Czech Republic,50cl,Standard,14.60,130.19
1/18/2019,South America,Panama,330ml,Standard,12.78,47.42
1/18/2019,South America,Peru,"56,8cl",Standard,18.20,55.27
1/18/2019,South America,Brasil,15cl,Slim,8.50,110.33
1/19/2019,South America,Brasil,16Oz,Standard,14.59,63.93
1/19/2019,EUR,Germany,33cl,Standard,11.90,6.94
1/19/2019,EUR,Netherlands,32oz,BIG CAN,27.55,31.25
1/19/2019,North America,CA,8 OZ,SLEEK,11.03,29.29
1/19/2019,Asia,Japan,19Oz,Standard,16.56,44.59
1/19/2019,South America,Paraguay,310ml,Sleek,12.26,163.00
1/20/2019,EUR,Netherlands,24 OZ,Big Can,22.81,212.94
1/20/2019,EUR,Germany,32oz,BIG CAN,27.55,182.67
1/21/2019,South America,Colombia,33cl,Standard,11.90,243.72
1/21/2019,EUR,Portugal,44cl,Standard,13.90,58.06
1/21/2019,EUR,Netherlands,25cl,Slim,10.40,52.65
1/21/2019,North America,US,12oz Sleek,SLEEK,13.79,257.36
1/21/2019,South America,Paraguay,12oz Sleek,SLEEK,13.79,61.39
1/21/2019,South America,Argentina,15cl,Slim,8.50,47.24
1/21/2019,South America,Peru,8oz Sleek,SLEEK,11.03,17.49
1/21/2019,South America,Panama,15cl,Slim,8.50,14.51
1/21/2019,Asia,China,310ml,Sleek,12.26,48.95
1/21/2019,EUR,Belgium,11 OZ,Standard,13.38,27.98
1/21/2019,EUR,UK,32oz,BIG CAN,27.55,56.99
1/21/2019,Asia,Japan,33cl,Standard,11.90,242.10
1/22/2019,South America,Panama,25 OZ,STANDARD,25.27,161.14
1/22/2019,EUR,Germany,32oz,BIG CAN,27.55,88.90
1/23/2019,EUR,Netherlands,25cl,Slim,10.40,109.12
1/23/2019,EUR,Czech Republic,12oz Sleek,SLEEK,13.79,13.43
1/23/2019,EUR,Portugal,19Oz,Standard,16.56,8.77
1/23/2019,South America,Argentina,"56,8cl",Standard,18.20,140.59
1/23/2019,North America,US,32oz,BIG CAN,27.55,72.45
1/23/2019,EUR,Germany,12oz Sleek,SLEEK,13.79,6.26
1/23/2019,EUR,Czech Republic,25cl,Slim,10.40,105.02
1/23/2019,Asia,Korea,355ml,Standard,13.09,38.44
1/24/2019,South America,Panama,15cl,Slim,8.50,114.84
1/24/2019,South America,Colombia,12 OZ,SLEEK,13.79,5.62
1/24/2019,South America,Brasil,"56,8cl",Standard,18.20,197.86
1/24/2019,Asia,Japan,10 OZ,SLEEK,12.83,43.00
1/24/2019,Asia,Korea,12 OZ,SLEEK,13.79,34.40
1/24/2019,South America,Colombia,16Oz,Standard,15.00,164.71
1/24/2019,EUR,Belgium,9Oz,Sleek,11.12,73.28
1/25/2019,EUR,UK,"56,8cl",Standard,16.90,89.31
1/25/2019,EUR,Belgium,33cl,Standard,12.50,19.76
1/25/2019,South America,Argentina,310ml,Sleek,12.26,44.25
1/25/2019,EUR,Czech Republic,16Oz,Standard,15.00,31.48
1/25/2019,South America,Peru,16Oz,Standard,15.00,202.13
1/25/2019,EUR,Belgium,9Oz,Sleek,11.12,73.89
1/26/2019,EUR,Belgium,16Oz,Standard,15.00,64.38
1/26/2019,South America,Paraguay,16Oz,Standard,15.00,6.13
1/26/2019,South America,Argentina,16 OZ,STANDARD,16.08,228.22
1/26/2019,EUR,Czech Republic,25cl,Slim,10.40,97.56
1/26/2019,South America,Argentina,"56,8cl",Standard,18.20,124.34
1/26/2019,South America,Panama,10.5Oz,Slim,12.85,33.57
1/26/2019,EUR,Germany,11 OZ,Standard,13.38,24.52
1/26/2019,South America,Panama,33cl,Standard,11.90,15.63
1/27/2019,Asia,China,500ml,Standard,16.38,67.85
1/27/2019,South America,Peru,355ml,Standard,13.09,74.21
1/27/2019,South America,Chile,11 OZ,Standard,13.38,2.94
1/27/2019,North America,CA,12Oz,Standard,13.00,102.38
1/27/2019,South America,Brasil,330ml,Standard,12.78,230.42
1/28/2019,South America,Argentina,11 OZ,Standard,13.38,0.48
1/28/2019,Asia,Korea,310ml,Sleek,12.26,20.01
1/28/2019,South America,Panama,8 OZ,SLEEK,11.03,9.96
1/28/2019,EUR,Czech Republic,330ml,Standard,12.78,179.80
1/28/2019,EUR,Netherlands,10.5Oz,Slim,12.85,42.32
1/28/2019,South America,Argentina,12oz Sleek,SLEEK,13.79,120.29
1/29/2019,EUR,Germany,50cl,Standard,2.50,51.98
1/29/2019,EUR,Czech Republic,32oz,BIG CAN,27.55,29.90
1/29/2019,Asia,China,12oz Sleek,SLEEK,13.79,274.76
1/29/2019,EUR,Spain,44cl,Standard,13.90,44.32
1/29/2019,EUR,Belgium,50cl,Standard,14.60,92.65
1/29/2019,South America,Chile,"56,8cl",Standard,18.20,28.15
1/29/2019,South America,Peru,12Oz,Standard,13.00,14.54
1/29/2019,EUR,UK,8 OZ,SLEEK,11.03,49.20
1/29/2019,EUR,Belgium,355ml,Standard,13.09,64.55
1/29/2019,EUR,France,11Oz,Standard,12.36,39.93
1/29/2019,North America,CA,16 OZ,STANDARD,16.08,225.00
1/29/2019,North America,US,"56,8cl",Standard,18.20,7.54
1/29/2019,South America,Chile,16 OZ,STANDARD,16.08,78.57
1/29/2019,EUR,Germany,50cl,Standard,14.60,39.28
1/30/2019,North America,US,16 OZ,STANDARD,15.82,246.08
1/30/2019,South America,Brasil,33cl,Standard,11.90,59.84
1/30/2019,South America,Peru,8oz Sleek,SLEEK,11.03,40.61
1/30/2019,South America,Paraguay,310ml,Sleek,12.26,71.26
1/31/2019,North America,CA,10 OZ,SLEEK,12.83,48.63
2/1/2019,North America,CA,12oz,STANDARD,13.58,145.12
2/1/2019,North America,CA,12oz Sleek,SLEEK,13.79,52.67
2/1/2019,EUR,Czech Republic,25cl,Slim,10.40,131.52
2/1/2019,Asia,Korea,12 OZ,SLEEK,13.79,185.80
2/1/2019,North America,US,10.5Oz,Slim,12.85,43.48
2/1/2019,North America,US,"56,8cl",Standard,18.20,82.00
2/1/2019,Asia,Korea,32oz,BIG CAN,27.55,41.00
2/1/2019,South America,Chile,24 OZ,Big Can,22.81,46.71
2/2/2019,EUR,Belgium,10 OZ,SLEEK,12.83,179.30
2/2/2019,EUR,UK,16 OZ,STANDARD,16.08,38.66
2/2/2019,South America,Brasil,10 OZ,SLEEK,12.83,158.62
2/2/2019,EUR,France,11 OZ,Standard,13.38,152.11
2/2/2019,Asia,Korea,10.5Oz,Slim,12.85,168.80
2/2/2019,EUR,Netherlands,32oz,BIG CAN,27.55,8.88
2/3/2019,Asia,China,16 OZ,STANDARD,16.08,0.94
2/3/2019,EUR,Czech Republic,32oz,BIG CAN,27.55,76.15
2/3/2019,South America,Chile,330ml,Standard,12.78,93.56
2/4/2019,EUR,Netherlands,11 OZ,Standard,13.38,0.82
2/4/2019,EUR,Czech Republic,24 OZ,Big Can,22.81,120.37
2/4/2019,Asia,Japan,310ml,Sleek,12.26,34.26
2/4/2019,EUR,Belgium,24 OZ,Big Can,22.81,20.14
2/4/2019,Asia,China,10 OZ,SLEEK,12.83,45.35
2/5/2019,South America,Argentina,25oz,BIG CAN,24.66,82.78
2/5/2019,South America,Brasil,10 OZ,SLEEK,12.83,38.84
2/6/2019,Asia,China,11 OZ,Standard,13.38,89.88
2/6/2019,EUR,UK,24 OZ,Big Can,22.81,101.40
2/6/2019,North America,CA,11 OZ,Standard,13.38,78.50
2/6/2019,South America,Paraguay,11 OZ,Standard,13.38,21.80
2/6/2019,South America,Panama,10.5Oz,Slim,12.85,22.22
2/7/2019,South America,Colombia,11Oz,Standard,12.36,189.68
2/7/2019,EUR,Czech Republic,10.5Oz,Slim,12.85,0.93
2/7/2019,EUR,Spain,11 OZ,Standard,13.38,32.49
2/7/2019,South America,Argentina,19Oz,Standard,16.56,15.82
2/8/2019,Asia,Korea,355ml,Standard,13.09,91.79
2/8/2019,South America,Peru,310ml,Sleek,12.26,154.90
2/8/2019,EUR,Netherlands,9Oz,Sleek,11.12,265.84
2/8/2019,South America,Brasil,25cl,Slim,10.40,57.44
2/8/2019,South America,Peru,8 OZ,SLEEK,11.03,14.44
2/8/2019,North America,CA,15cl,Slim,8.50,13.34
2/8/2019,North America,CA,11Oz,Standard,12.36,65.94
2/8/2019,South America,Peru,15cl,Slim,8.50,156.85
2/8/2019,EUR,Portugal,50cl,Standard,14.60,15.22
2/9/2019,EUR,Belgium,10.5Oz,Slim,12.85,47.07
2/9/2019,EUR,Portugal,12oz Sleek,SLEEK,13.79,29.03
2/9/2019,North America,US,11Oz,Standard,12.36,64.21
2/9/2019,North America,CA,16 OZ,STANDARD,16.08,71.91
2/9/2019,North America,CA,33cl,Standard,11.90,106.48
2/9/2019,South America,Brasil,44cl,Standard,13.90,149.69
2/10/2019,EUR,Belgium,50cl,Standard,2.50,2.32
2/10/2019,EUR,Germany,8oz Sleek,SLEEK,11.03,213.09
2/10/2019,EUR,France,8oz Sleek,SLEEK,11.03,14.60
2/10/2019,South America,Panama,25oz,BIG CAN,24.66,29.00
2/10/2019,South America,Colombia,9Oz,Sleek,11.12,114.78
2/10/2019,South America,Brasil,8oz Sleek,SLEEK,11.03,117.07
2/10/2019,North America,US,33cl,Standard,11.90,58.98
2/10/2019,South America,Brasil,32oz,BIG CAN,27.55,5.80
2/11/2019,EUR,Netherlands,24 OZ,Big Can,22.81,8.38
2/11/2019,Asia,Korea,19Oz,Standard,16.56,14.99
2/11/2019,EUR,Czech Republic,50cl,Standard,14.60,129.55
2/11/2019,EUR,Czech Republic,25cl,Slim,10.40,2.29
2/11/2019,Asia,Korea,500ml,Standard,16.93,190.45
2/11/2019,EUR,Netherlands,25oz,BIG CAN,24.66,60.45
2/11/2019,Asia,Korea,355ml,Standard,13.09,93.57
2/12/2019,EUR,Belgium,33cl,Sleek,12.00,149.84
2/12/2019,EUR,Germany,25oz,BIG CAN,24.66,169.52
2/12/2019,EUR,Spain,10 OZ,SLEEK,12.83,14.98
2/12/2019,EUR,Portugal,500ml,Standard,16.93,5.36
2/12/2019,South America,Brasil,10.5Oz,Slim,12.85,3.46
2/12/2019,EUR,France,25cl,Slim,10.40,6.42
2/12/2019,EUR,UK,50cl,Standard,14.60,3.83
2/13/2019,Asia,Korea,500ml,Standard,16.93,39.39
2/13/2019,South America,Chile,355ml,Standard,13.09,126.44
2/13/2019,EUR,Spain,330ml,Standard,12.78,117.31
2/13/2019,Asia,China,10.5Oz,Slim,12.85,27.46
2/13/2019,EUR,Czech Republic,8 OZ,SLEEK,11.03,263.12
2/13/2019,South America,Colombia,33cl,Standard,11.90,60.89
2/14/2019,EUR,France,15cl,Slim,8.50,11.10
2/14/2019,South America,Argentina,9Oz,Sleek,11.12,174.75
2/14/2019,South America,Chile,12oz Sleek,SLEEK,13.79,86.02
2/14/2019,South America,Paraguay,25 OZ,STANDARD,25.27,76.30
2/14/2019,EUR,Portugal,11 OZ,Standard,13.38,23.85
2/14/2019,EUR,Belgium,12Oz,Standard,13.00,152.78
2/15/2019,Asia,China,330ml,Sleek,12.68,63.52
2/16/2019,North America,CA,12oz,STANDARD,13.58,12.75
2/16/2019,South America,Paraguay,12 OZ,SLEEK,13.79,33.23
2/16/2019,EUR,Spain,10.5Oz,Slim,12.85,39.87
2/16/2019,EUR,Netherlands,"56,8cl",Standard,18.20,3.74
2/16/2019,EUR,Portugal,10.5Oz,Slim,12.85,19.94
2/16/2019,EUR,Portugal,9Oz,Sleek,11.12,43.45
2/16/2019,South America,Argentina,33cl,Standard,11.90,45.75
2/16/2019,South America,Paraguay,19Oz,Standard,16.56,40.17
2/16/2019,South America,Brasil,11Oz,Standard,12.36,60.72
2/16/2019,Asia,Korea,500ml,Standard,16.93,107.52
2/17/2019,EUR,Belgium,33cl,Standard,2.50,159.20
2/17/2019,South America,Brasil,16Oz,Standard,13.00,7.74
2/17/2019,North America,US,12 OZ,STANDARD,13.39,159.83
2/17/2019,Asia,Korea,33cl,Standard,11.90,36.58
2/17/2019,EUR,UK,"56,8cl",Standard,18.20,49.75
2/17/2019,South America,Chile,15cl,Slim,8.50,167.88
2/17/2019,EUR,Portugal,9Oz,Sleek,11.12,89.16
2/17/2019,Asia,Korea,8 OZ,SLEEK,11.03,172.24
2/18/2019,Asia,China,330ml,Sleek,13.18,111.21
2/18/2019,EUR,Portugal,12oz Sleek,SLEEK,13.79,108.21
2/18/2019,South America,Panama,50cl,Standard,14.60,0.69
2/18/2019,South America,Chile,11 OZ,Standard,13.38,163.59
2/18/2019,South America,Chile,8oz Sleek,SLEEK,11.03,80.51
2/18/2019,South America,Brasil,8oz Sleek,SLEEK,11.03,140.66
2/18/2019,South America,Colombia,24 OZ,Big Can,22.81,31.68
2/19/2019,North America,CA,25oz,BIG CAN,24.66,193.33
2/19/2019,South America,Peru,33cl,Standard,11.90,37.75
2/19/2019,South America,Colombia,19Oz,Standard,16.56,17.45
2/19/2019,North America,US,32oz,BIG CAN,27.55,130.52
2/19/2019,EUR,Belgium,25cl,Slim,10.40,97.70
2/19/2019,EUR,Belgium,310ml,Sleek,12.26,5.07
2/19/2019,EUR,Czech Republic,16Oz,Standard,15.00,128.15
2/20/2019,South America,Colombia,12Oz,Standard,13.00,61.52
2/20/2019,EUR,Portugal,25cl,Slim,10.40,171.39
2/20/2019,Asia,Japan,500ml,Standard,16.93,49.42
2/20/2019,EUR,Netherlands,11 OZ,Standard,13.38,18.44
2/20/2019,EUR,France,24 OZ,Big Can,22.81,32.04
2/20/2019,South America,Colombia,8 OZ,SLEEK,11.03,121.18
2/20/2019,South America,Paraguay,24 OZ,Big Can,22.81,120.10
2/20/2019,EUR,France,"56,8cl",Standard,18.20,120.03
2/21/2019,South America,Argentina,16Oz,Standard,15.00,78.68
2/21/2019,North America,CA,12oz Sleek,SLEEK,13.62,95.16
2/21/2019,EUR,Spain,8 OZ,SLEEK,11.03,44.35
2/21/2019,North America,US,9Oz,Sleek,11.12,175.45
2/21/2019,Asia,Japan,270ml,Sleek,13.08,16.54
2/21/2019,South America,Brasil,330ml,Standard,12.78,132.85
2/21/2019,Asia,Korea,15cl,Slim,8.50,23.24
2/21/2019,EUR,Netherlands,12oz Sleek,SLEEK,13.79,57.49
2/21/2019,South America,Chile,12oz Sleek,SLEEK,13.79,195.14
2/21/2019,EUR,Netherlands,25 OZ,STANDARD,25.27,57.24
2/22/2019,EUR,Portugal,16 OZ,STANDARD,16.08,190.28
2/22/2019,South America,Panama,50cl,Standard,14.60,95.96
2/22/2019,EUR,Germany,12oz Sleek,SLEEK,13.79,48.72
2/22/2019,Asia,China,500ml,Standard,16.93,49.23
2/22/2019,Asia,Korea,32oz,BIG CAN,27.55,55.73
2/23/2019,EUR,Netherlands,12Oz,Standard,13.00,99.30
2/23/2019,EUR,Czech Republic,355ml,Standard,13.09,7.22
2/23/2019,Asia,Japan,25cl,Slim,10.40,185.90
2/23/2019,EUR,Belgium,16 OZ,STANDARD,16.08,1.28
2/23/2019,EUR,Belgium,12 OZ,SLEEK,13.79,16.96
2/24/2019,EUR,Germany,10.5Oz,Slim,12.85,79.69
2/24/2019,South America,Colombia,44cl,Standard,13.90,89.58
2/24/2019,Asia,Korea,32oz,BIG CAN,27.55,108.04
2/24/2019,North America,CA,11Oz,Standard,12.36,4.98
2/24/2019,Asia,Korea,355ml,Standard,13.09,3.23
2/25/2019,South America,Colombia,25oz,BIG CAN,24.66,169.01
2/25/2019,EUR,Belgium,330ml,Standard,12.78,19.06
2/25/2019,EUR,Czech Republic,25oz,BIG CAN,24.66,91.05
2/25/2019,EUR,Portugal,10 OZ,SLEEK,12.83,29.69
2/25/2019,EUR,Portugal,9Oz,Sleek,11.12,96.70
2/25/2019,South America,Argentina,33cl,Standard,11.90,158.07
2/25/2019,South America,Paraguay,16Oz,Standard,15.00,7.02
2/26/2019,South America,Paraguay,11 OZ,Standard,13.38,47.22
2/26/2019,South America,Colombia,270ml,Sleek,13.08,70.82
2/26/2019,South America,Colombia,310ml,Sleek,12.26,140.01
2/26/2019,EUR,Germany,12Oz,Standard,13.00,128.54
2/26/2019,EUR,UK,16Oz,Standard,15.00,3.83
2/26/2019,South America,Argentina,270ml,Sleek,13.08,17.51
2/27/2019,Asia,Korea,25 OZ,STANDARD,25.27,66.23
2/27/2019,EUR,UK,9Oz,Sleek,11.12,40.94
2/27/2019,Asia,China,33cl,Standard,11.90,17.43
2/28/2019,South America,Brasil,8oz Sleek,SLEEK,11.03,42.68
3/1/2019,South America,Peru,12 OZ,SLEEK,13.79,66.88
3/1/2019,South America,Panama,270ml,Sleek,13.08,7.95
3/1/2019,Asia,China,16Oz,Standard,15.00,154.08
3/2/2019,EUR,Portugal,25 OZ,STANDARD,25.27,23.25
3/3/2019,EUR,Belgium,8oz Sleek,SLEEK,11.03,68.64
3/3/2019,South America,Paraguay,10 OZ,SLEEK,12.83,73.99
3/3/2019,EUR,Germany,8 OZ,SLEEK,11.03,181.25
3/3/2019,EUR,Portugal,50cl,Standard,14.60,8.38
3/4/2019,EUR,UK,50cl,Standard,14.60,93.61
3/4/2019,Asia,China,8oz Sleek,SLEEK,11.03,120.94
3/4/2019,Asia,China,12 OZ,SLEEK,13.79,154.43
3/4/2019,Asia,Korea,16Oz,Standard,15.00,35.49
3/4/2019,Asia,Japan,355ml,Standard,13.09,18.29
3/5/2019,South America,Brasil,19Oz,Standard,15.00,75.49
3/5/2019,North America,US,12 OZ,SLEEK,13.92,2.13
3/5/2019,North America,CA,16oz,STANDARD,15.82,72.12
3/5/2019,EUR,Portugal,50cl,Standard,14.60,99.97
3/5/2019,South America,Colombia,32oz,BIG CAN,27.55,139.14
3/5/2019,EUR,Germany,25 OZ,STANDARD,25.27,76.90
3/5/2019,South America,Chile,8 OZ,SLEEK,11.03,77.90
3/5/2019,South America,Brasil,8oz Sleek,SLEEK,11.03,99.15
3/5/2019,Asia,Japan,310ml,Sleek,12.26,114.12
3/5/2019,South America,Chile,25 OZ,STANDARD,25.27,93.62
3/6/2019,North America,CA,10.5Oz,Slim,12.85,25.63
3/6/2019,EUR,Czech Republic,25cl,Slim,10.40,6.89
3/6/2019,EUR,Belgium,25cl,Slim,10.40,106.10
3/6/2019,Asia,Japan,15cl,Slim,8.50,77.30
3/6/2019,South America,Colombia,355ml,Standard,13.09,20.44
3/6/2019,EUR,Belgium,"56,8cl",Standard,18.20,99.87
3/7/2019,EUR,Belgium,33cl,Standard,2.50,53.80
3/7/2019,EUR,UK,500ml,Standard,16.93,218.48
3/7/2019,North America,CA,16 OZ,STANDARD,16.08,222.05
3/7/2019,EUR,Czech Republic,9Oz,Sleek,11.12,29.44
3/7/2019,South America,Brasil,16Oz,Standard,15.00,217.27
3/8/2019,South America,Paraguay,33cl,Standard,11.90,265.70
3/8/2019,Asia,China,25oz,BIG CAN,24.66,211.12
3/8/2019,EUR,Belgium,"56,8cl",Standard,18.20,188.82
3/9/2019,South America,Argentina,19Oz,Standard,16.56,231.03
3/9/2019,South America,Paraguay,25oz,BIG CAN,24.66,247.27
3/9/2019,South America,Panama,"56,8cl",Standard,18.20,159.61
3/9/2019,South America,Colombia,25cl,Slim,10.40,42.74
3/10/2019,South America,Panama,24 OZ,Big Can,22.81,14.54
3/10/2019,EUR,Netherlands,8 OZ,SLEEK,11.03,51.83
3/11/2019,EUR,Belgium,50cl,Standard,14.60,0.49
3/11/2019,Asia,Japan,10 OZ,SLEEK,12.83,62.55
3/12/2019,South America,Peru,33cl,Standard,11.90,21.52
3/12/2019,EUR,Portugal,25oz,BIG CAN,24.66,65.22
3/12/2019,Asia,Korea,10 OZ,SLEEK,12.83,81.89
3/12/2019,EUR,Belgium,"56,8cl",Standard,18.20,120.46
3/13/2019,North America,CA,8 OZ,SLEEK,11.03,49.44
3/13/2019,Asia,China,32oz,BIG CAN,27.55,72.24
3/13/2019,Asia,Korea,50cl,Standard,14.60,152.47
3/13/2019,South America,Peru,"56,8cl",Standard,18.20,50.55
3/13/2019,South America,Brasil,32oz,BIG CAN,27.55,7.08
3/13/2019,South America,Brasil,50cl,Standard,14.60,81.31
3/13/2019,South America,Peru,16 OZ,STANDARD,16.08,141.80
3/14/2019,South America,Chile,44cl,Standard,13.90,128.54
3/14/2019,Asia,China,355ml,Standard,13.09,224.76
3/14/2019,Asia,China,500ml,Standard,16.93,14.07
3/15/2019,EUR,UK,44cl,Standard,13.90,11.66
3/15/2019,North America,US,8 OZ,SLEEK,11.03,20.19
3/15/2019,EUR,Czech Republic,330ml,Standard,12.78,62.01
3/16/2019,South America,Peru,11Oz,Standard,12.36,41.01
3/16/2019,EUR,Czech Republic,12oz Sleek,SLEEK,13.79,34.22
3/16/2019,EUR,UK,8 OZ,SLEEK,11.03,165.04
3/16/2019,South America,Panama,270ml,Sleek,13.08,40.85
3/16/2019,North America,CA,32oz,BIG CAN,27.55,6.02
3/17/2019,EUR,Portugal,330ml,Standard,12.78,44.89
3/17/2019,North America,CA,8oz Sleek,SLEEK,11.03,174.32
3/17/2019,EUR,Germany,355ml,Standard,13.09,5.03
